id,Name,Notes,notes,latitude,longitude,admin_level_country,Infrastructure,Role,is-part-of
75,Ain Naga,,,34.6891,6.0928,admin_level_3,"TransMed (1) G01,TransMed (2) G02,TransMed (3) G03",,Biskra
76,Sbeitla,,,35.2283,9.1276,admin_level_3,TransMed (4),,Sbeitla Delegation
77,Korba,,,36.5806,10.8621,admin_level_3,TransMed (4),,Nabeul Governorate
78,M'Sila,,,,,admin_level_1,,,
79,M'Sila,,,35.7058,4.5419,admin_level_3,Haoud El Hamra - Béjaïa,,M'Sila
80,Tiaret,,,,,admin_level_1,,,Algeria
81,Tiaret,,,35.3667,1.3167,admin_level_3,"Arzew - Haoud El Hamra (OZ1),Arzew - Haoud El Hamra (OZ2)",,Tiaret
82,Mesdar,,,31.1902,6.7907,admin_level_4,"Mesdar - Haoud El Hamra,Mesdar - El Borma",,Ourgla
83,Basilicata,,,,,admin_level_1,,,Italy
84,Potenza,,,4038.0000,1548.0000,admin_level_2,,,Basilicata
85,Viaggiano,,,40.3330,15.9000,admin_level_3,Centro Olio Val D'Agri,,Potenza
87,,,,,,,,,
88,Djebel grouz,,,32.1300,1.7700,admin_level_4,Djebel Grouz,,Tataouine
89,Sanhar,,,,,,Sanhar oil field,,Tataouine
90,Makhrouga,,,,,admin_level_4,"Makhrouga,Makhrouga - Debbech - El Borma,Makhrouga - El Borma",,Tataouine
91,Nawara,,,,,admin_level_4,"South Tunisia Gas Project Pipeline,Nawara Central Processing Facility (CPF)",,Tataouine
92,Oued Zar,,,,,admin_level_3,"Oued Zar,Oued Zar - El Borma",,Tataouine
93,Choech Essaid,,,,,admin_level_4,"Chouech Essaida,Chouch Saida - El Borma",,Tataouine
