id,Name,Notes,operating_locations,descriptive_name,entity_type_past,established_date,activity_focus,current_status,Infrastructure,Transactions,Discursive_Oil,Role,Actions_Timeline,is_part_of,concessions_grantee,concessions_granter
23,SODEPS,,Tunisia,Société de développement et d'Exploitation du Permis du Sud,joint venture,01/01/1983,Société de Développement et d’Exploitation du Permis du Sud,active,"Makhrouga,Debbech,Laarich,Makhrouga - Debbech - El Borma",,,,"Beginning of production - Makhrouga,Production - Debbech,Laarich Production,Makhrouga - El Borma Pipeline Start Year","Ente Nazionale Idrocarburi,SNAM",Permis du Sud 1960,
24,TTPC,"In 2023, ENI and SNAM transferred TTPC and related assets into SeaCorridor S.r.l., with Eni retaining 50.1% and Snam 49.9%",Tunisia,Trans Tunisian Pipeline Company S.p.A.,joint venture,01/01/1977,Markets/transits Algerian gas through Tunisia,active,,,,,,,,
25,ETAP,"ETAP should conduct research concerning the oil industry; train Tunisian specialists in the various branches of the oil industry; participate in industrial, commercial, financial and other activities that are related to the oil and natural gas industry.",Tunisia,Entreprise Tunisienne d'Activités Pétrolières,state-owned,10/03/1972,Manage petroleum exploration and production activities on behalf of the Tunisian government,active,"Djebel Douleb,Djebel Semmama,Djbel Tamesmida,In Amenas - Skhirra,Djebel Grouz,Makhrouga,Laarich,Adam,Oued Zar,Cherouq,Jinane,Abir,Bochra,Benefsej Sud,Aziza,Shalbia,Sabeh,South Tunisia Gas Project Pipeline,Makhrouga - Debbech - El Borma","Djbel Tamesmida Décret-loi 2022-40 du 17/06/2022,Djbel Douleb Décret-loi 2022-42 du 17 juin 2022,DJEBEL GROUZ Décret loi 2022-41 du 17/06/2022,Jort n.87 - Djebel Grouz,JORT n.6,Oued Zar  Décret-loi n° 2022-59 du 27 Septembre 2022,JORT n. 130 - 29/11/2022,JORT n.55,Jenein Nord  Loi n° 96-106 du 09/12/96,JORT n.34 Extension Cherouq,Jort n.43 Jinane,Jenein Nord  Loi n° 96-106 du 09/12/1996,Jort n.120 Abir & Bochra,Jenein Sud  Décret n° 2004-1105 du  13/05/2004,Jort n.17 Nawara,Jort n.70 Banafsej Sud,JORT n.95 Aziza,JORT n.84 Shalbia",,,"Exploration DST - Douleb,Exploration DST - Semmama,Exploration DST - Tamesmida,Production DST - Douleb,Production DST - Semmama,Production DST - Tamesmida,Extension DST - Douleb,Extension DST - Tamesmima,Beginning of production - Makhrouga,Laarich Production,Start of Production - Oued Zar,Oued Zar Extension,Cherouq Extension,Jinane Establishment,Abir & Bochra Establishment,Nawara Establishment,Establishment Banafsej Sud,Aziza Establishment,Shalbia Establishment,Makhrouga - El Borma Pipeline Start Year,Nawara gas and condensate field was discovered",Tunisian Government,"Permis du Sud 1960,Tunisie Centre Nord 1965,'Bir Aouine 1978,Jenein Nord 1996,Jenein Sud 2004",Borj El Khadra
26,SERGAZ,Established date not confirmed. Now owned by SeaCorridor S.r.l.,"Italy,Tunisia,Algeria,Internationally",Société de Service du Gazoduc Trans‑Tunisien S.A,joint venture,01/01/1983,service company to operate and maintain the TTPC pipeline. Maintains/compresses Tunisian gas pipeline,active,,,,,,,,
27,SeaCorridor S.r.l.,"ENI holds 50.1%, while Snam holds 49.9%, under a joint governance model","Tunisia,Italy,Algeria",,joint governance company,10/01/2023,Coordinating the activities of the TTPC and TMPC gas pipelines.,active,,,,,,"Ente Nazionale Idrocarburi,SNAM",,
28,Italian Government,,Italy,,institution,,,,,,,,,,,
29,Ministero delle Partecipazioni Statali,,Italy,,ministry,,,active,,Italian confirmation for ENI to expand market Tunisia,,,,,,
30,Il Giorno,Established by Enrico Mattei,Italy,,Newspaper,,,active,,,A Gabes le concessioni dell'AGIP in Tunisia,,,Ente Nazionale Idrocarburi,,
31,SAEP,99.4% of shares held by AGIP S.p.A.,Tunisia,Société Anonyme d'Exploitation Pétrolière,subsidiary,08/01/1966,"Hydrocarbon exploration, production, transport, and export",inactive,Hassi R'Mel,,,,,AGIP,,
32,Società Fedele Bumbalo,Considered potential subcontractor for the building of the refinery,Tunisia,,"private company,potential subcontractor",,Opere Civili,unkown,,,,,Building Bizerte refinery,,,
33,Impresa di Clemente,Considered potential subcontractor for the building of the refinery,Tunisia,,"private company,potential subcontractor",,Opere Civili,unkown,,,,,Building Bizerte refinery,,,
