id,Name,Notes,unique_identifier,nb,source_date,author,type_source,Transactions,Discursive_Oil,Actions_Timeline,Images
3,Corrispondenze sul viaggio di Bourguiba a Salsomaggiore,,ENI_PMB_CL_B133_139,,04/07/1959,,archival document,,Corrispondenze sul viaggio di Bourguiba a Salsomaggiore,,
4,18_Convenzione tra governo Tunisino e ENI,,ENI_APRP_B157_026,to check,10/02/1960,,archival document,Establishment of STIR,,,
6,Oil and Regional Development; Examples from Algeria and Tunisia,,UCSB_ Schliephake_Oil and Regional Development_1977,,01/01/1967,Konrad Schliephake,book,,,"First concession granted in Algeria,Bir Aouine,First drilling in Edjéléh,Deposits discovered in Haoudh El Hamra,Hassi R'Mel discovery of natural gas deposit,Hassi R'Mel start of production",
7,1960-06-10_Agenzia Italiana_Firmato Accordo ENI-Tunisia,,ENI_RE_RP_B154_047,,10/06/1960,,archival document,,Article from Agenzia Italiana,,
8,El Amal Editorial Vent against French anger due to agreement with ENI in the Sahara,,ENI_RE_RP_B154_031,,10/06/1960,,archival document,Tripartite Agreement,El Amal Editorial: Vent against French anger due to agreement with ENI in the Sahara,,
9,SITEP Convention,,ENI_RE_RP_B154_103,,01/01/1961,,archival document,"First convention for exploitation in Southern Tunisia & Establishment SITEP,Three Decrees by Secretariat d'Etat à l'Industrie et aux Transports for southern permits",,,
10,Prot. n. 32520 Lettera dal Ministro delle Partecipazioni a ENI,,ENI_RE_MPS_B5_001,,10/08/1960,,archival document,Italian confirmation for ENI to expand market Tunisia,,,
11,Il Giorno_A Gabes le concessioni dell'AGIP in Tunisia,,ENI_PMB_CL_B133_236,,12/06/1960,,archival document,,A Gabes le concessioni dell'AGIP in Tunisia,,
12,Costituzione SAEP,,ENI_RE_MPS_B6_007,,05/11/1966,,archival document,,,,
13,Jacoboni_Studio tecnico sulla construzione di una raffineria,,ENI_E_APRP_B157_313,,01/01/1959,,archival document,,,"First round negotiations refinery with ENI,Building Bizerte refinery",
14,Jacoboni_XI Studio tecnico sulla construzione di una raffineria,,ENI_E_APRP_B157_336,,07/03/1960,,archival document,,,"First round negotiations refinery with ENI,Building Bizerte refinery",
15,Convenzione su valutazione tecnico-economica per la costruzione di una raffineria in Tunisia,,ENI_E_APRP_B157_070,,16/10/1959,,archival document,Convention between Tunisian Government and Agip on building a refinery in Tunisia,,,
16,"Trattative con il Governo Tunisino riguardante i permessi a. 1, 3 е raffineria",,ENI_E_APRP_B157_305,to check,01/01/1960,,archival document,,,,
17,Lettera Mattei Borguiba su raffineria ESSO-STANDARD,,ENI_E_APRP_B157_250,,13/01/1960,,archival document,,ENI fight with big companies,,
18,Lettera di Mattei a Bourguiba su ingerenza internazionale,,ENI_E_APRP_B157_253,,18/01/1960,,archival document,,ENI fight with big companies,,
19,"Gavotti_Tunisia, punto sulla situazione al Giugno 1960",,ENI_E_APRP_B157_299,,25/06/1960,,archival document,,ENI fight with big companies,,
21,Appello Dillon per larga partecipazione dei paesi europei all'aiuto al paesi sottosviluppati,,ENI_E_APRP_B157_291,,15/01/1960,,archival document,,Italy positioning itself as ENI during decolonization,,
22,Telegramma da Grazzi a Italdipl Washington and Tunis su ingerenza Americana,,ENI_E_APRP_B157_257,,01/01/1959,,archival document,,ENI fight with big companies,,
24,Lettera segreta da Mattei a Bourguiba,,ENI_E_APRP_B157_241,,01/01/1960,,archival document,Agreement Edjeleh-Gabes oil transportation,ENI fight with big companies,Second round negotiations after American competition,
26,Discussioni su accordo tripartito,,ENI_E_APRP_B157_064,,19/10/1959,Attilio Jacoboni,archival document,Tripartite Agreement,,"First round negotiations refinery with ENI,Building Bizerte refinery",
27,Informazioni geologiche sui permessi,,ENI_E_APRP_B157_110,,01/02/1960,,archival document,,,,
28,Lettera ENI con dettagli legali su permesso El Borma,,ENI_E_APRP_B157_246,,08/03/1961,Cesare Gavotti,archival document,El Borma Loi n°60-12 / 68-24/08/2010,,Dispute El Borma SITEP/SEREPT,
29,Corrispondenze Mattei e politici sulla situazione permesso El Borma bloccato,,ENI_PMB_CL_B133_100,,03/05/1961,Enrico Mattei,archival document,,,Dispute El Borma SITEP/SEREPT,
30,Telespresso 10377 su rinvio concessioni El Borma,,ENI_E_APRP_B157_270,,20/05/1961,Ministero Partecipazioni Statali,archival document,,,Dispute El Borma SITEP/SEREPT,
31,Telespresso n.48 su permesso El Borma tra SITEP e SEREPT da risolvere dopo Evian,,ENI_E_APRP_B157_248,,22/05/1961,,archival document,,,Dispute El Borma SITEP/SEREPT,
